1;SuperChange;;0;21299
10;My-Xchange;878525859540;782;70276
15;OnlineChange;595493601044;875;1471
18;SaveChange;611244989650;3128;30327
48;Exwp;800811812711;1563;97779
51;ExchangeX;687408836403;1711;223051
52;NetExchange;;0;64040
56;M-Obmen;963130820766;1974;12659
62;ChangeMoney;153989616349;987;7805
63;WMCasher;106880779815;3003;246448
67;СуперОбменка;249714880659;3339;15664
72;Обменник.ру;113848432416;2436;37753
382;Bit-Changer;;0;32025
443;Обмен-Ом;;0;269126
73;Обменник.in.ua;170005281866;2828;18290
78;Cashing;232007937681;2572;3427
79;E-Obmen;;0;971144
80;Vmex;060994506852;707;597295
81;WMChange;255372392348;2087;136983
83;Обменник.ws;170005281866;2828;34709
84;WebObmen;401905501032;1666;2060
86;Obmening;142747776155;2027;518048
89;Changer;;0;2914597
91;WMtoCash;260279090355;2319;0
95;UkrCash;;0;70636
96;UkrWM;473565956339;889;45805
102;ExPayer;325157143068;1189;12015
104;Owm24;413356353466;85;1320
106;MoneyExchange;413738854107;0;6380
107;WM-Sha;881627402476;1407;10345
110;Wmt24;117687893439;2590;0
361;SaleWMZ;612481138898;290;10273
114;2Cash;139975981316;1562;9192
116;WM-Privat;730738882527;925;2958
120;MagneticExchange;;0;158591
122;UltraChange24;353947666079;1122;5146
128;XMLGold;;0;96079
142;WmPayCash;256939015533;1332;49044
152;Vilkov;;0;134125
154;eCashMe;878525859540;782;194246
155;Z-Obmen;;0;9989
157;WmBox;329025066047;1919;26340
161;Обменник.ua;963130820766;1974;22161
162;Payeer;;0;789207
163;NetEx;;0;6452
169;ExchangerWM;471886423059;887;12432
173;F1Ex;;0;68739
177;AlfaCashier;;0;739954
184;Xchange;;0;2559380
191;PayPalPartner;364537230331;904;36504
196;Е-Деньги;260726383675;2008;8642
197;WMSell;;0;10870
199;WMChange24;730055648577;1563;30710
200;24Pay;;0;57174
201;NixExchange;;0;1138795
204;ChangeAm;142375337537;457;23984
205;WMSim;394929061825;771;164134
208;Обмен.cc;;0;150741
212;P2PChange;;0;302550
215;UniChange;;0;57302
218;A-Exchange;;0;91348
601;Bitochek;;0;49753
219;I-Obmen;;0;162582
220;WMGlobus;;0;57368
227;MoneyChange;;0;39982
234;PM-Obmen;;0;9795
236;LiteObmen;;0;9565
238;E-Money;;0;305996
239;E-Scrooge;;0;384114
241;SimpleChange;174948279972;1256;8917
244;Wm72;461412024826;1444;12816
245;MisterMoneyBrasil;;0;11442
643;Bchange;;0;75023
246;V-Obmen;236491286950;295;31259
247;A1Change;;0;490237
250;OrangeExchangePro;;0;631
251;24Obmin;;0;30783
252;VIPchanger;397640011232;1409;236312
255;BazarMoney;250647852481;831;25219
256;PM2BTC;;0;1552673
257;PM2WM;;0;100000
259;BTC2Cashin;;0;109740
260;PM2Cashin;;0;548699
268;RapidObmen;;0;18596
269;Paspar;;0;4210
271;GoldObmen;;0;40792
272;WMCentre;;0;140188
273;ArmChange;;0;80004
276;BTC2PM;;0;100000
277;BTC2WM;;0;100000
369;X-Pay;;0;279672
283;WMAlliance;303155182298;1476;92366
291;Ukr-Obmen;;0;9036
293;SolidChanger;;0;137614
296;ВМТаганрог;203910491104;882;784
297;Меняйко;192211650456;1440;26565
298;SolidChangerNet;;0;206854
299;ObmenCash;;0;10791
306;Спасибо;632584157120;1995;275765
310;IndaCoin;;0;74413
311;Cryptex24;;0;235740
318;eBitok;;0;376482
319;BelkaPay;;0;411902
320;100Монет;;0;1201449
324;Qipri;;0;157703
327;24Обмен;;0;6803
329;TytCoin;;0;8953
332;Fex;;0;374
